date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-02-20 15:45:23,Rensga eSports,1,Red,7,15,1.0,0.0,4.0,41211,0,Split 1
2022-02-20 16:48:38,INTZ,1,Blue,30,15,4.0,0.0,8.0,59664,1,Split 1
2022-02-20 16:48:38,KaBuM! e-Sports,1,Red,15,30,1.0,0.0,4.0,53201,0,Split 1
2022-02-20 17:49:12,Liberty,1,Blue,16,13,3.0,2.0,11.0,66782,1,Split 1
2022-02-20 17:49:12,paiN Gaming,1,Red,13,16,2.0,0.0,5.0,63536,0,Split 1
2022-02-20 18:54:59,Flamengo Esports,1,Blue,6,13,1.0,0.0,3.0,50421,0,Split 1
2022-02-20 18:54:59,Netshoes Miners,1,Red,13,6,3.0,2.0,9.0,58230,1,Split 1
2022-02-20 19:51:32,FURIA,1,Blue,2,16,0.0,0.0,3.0,45988,0,Split 1
2022-02-20 19:51:32,LOUD,1,Red,16,2,4.0,1.0,11.0,59989,1,Split 1
2022-02-26 16:19:00,FURIA,1,Blue,19,7,2.0,1.0,10.0,61517,1,Split 1
2022-02-26 16:19:00,Flamengo Esports,1,Red,7,19,2.0,0.0,1.0,49273,0,Split 1
2022-02-26 17:22:00,LOUD,1,Blue,13,25,1.0,1.0,6.0,67312,0,Split 1
2022-02-26 17:22:00,RED Canids,1,Red,25,13,5.0,1.0,10.0,75772,1,Split 1
2022-02-26 18:06:44,Rensga eSports,1,Blue,17,11,2.0,1.0,9.0,51733,1,Split 1
2022-02-26 18:06:44,Liberty,1,Red,11,17,2.0,0.0,1.0,41866,0,Split 1
2022-02-26 19:17:05,KaBuM! e-Sports,1,Blue,6,19,2.0,0.0,2.0,44278,0,Split 1
2022-02-26 19:17:05,paiN Gaming,1,Red,19,6,2.0,1.0,10.0,57918,1,Split 1
2022-02-26 20:21:45,Netshoes Miners,1,Blue,15,13,2.0,1.0,9.0,57743,1,Split 1
2022-02-26 20:21:45,INTZ,1,Red,13,15,2.0,0.0,3.0,50592,0,Split 1
2022-02-27 16:18:31,Flamengo Esports,1,Blue,14,9,4.0,1.0,10.0,66215,1,Split 1
2022-02-27 16:18:31,LOUD,1,Red,9,14,1.0,0.0,6.0,58860,0,Split 1
2022-02-27 17:07:10,INTZ,1,Blue,17,16,1.0,0.0,5.0,53287,0,Split 1
2022-02-27 17:07:10,FURIA,1,Red,16,17,3.0,1.0,10.0,58052,1,Split 1
2022-02-27 18:28:04,paiN Gaming,1,Blue,23,5,4.0,0.0,8.0,47881,1,Split 1
2022-02-27 18:28:04,Netshoes Miners,1,Red,5,23,0.0,0.0,1.0,35004,0,Split 1
2022-02-27 19:05:31,Liberty,1,Blue,12,16,3.0,0.0,6.0,60314,0,Split 1
2022-02-27 19:05:31,RED Canids,1,Red,16,12,3.0,1.0,10.0,66211,1,Split 1
2022-02-27 20:08:12,Rensga eSports,1,Blue,20,16,1.0,1.0,4.0,61315,0,Split 1
2022-02-27 20:08:12,KaBuM! e-Sports,1,Red,16,20,4.0,1.0,8.0,60308,1,Split 1
2022-03-05 15:45:09,FURIA,1,Blue,21,16,5.0,0.0,8.0,72640,1,Split 1
2022-03-05 15:45:09,paiN Gaming,1,Red,16,21,1.0,1.0,9.0,68902,0,Split 1
2022-03-05 17:04:54,LOUD,1,Blue,21,11,5.0,1.0,7.0,74836,1,Split 1
