date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-23 19:29:23,Flare,Flamengo Esports,bot,2,4,4,12009,271.0,Split 1,1.5
2022-01-23 19:29:23,Bounty,Flamengo Esports,sup,0,5,5,7166,40.0,Split 1,1.0
2022-01-23 19:29:23,fNb,FURIA,top,3,2,11,13246,262.0,Split 1,7.0
2022-01-23 19:29:23,Ranger,FURIA,jng,2,2,9,11367,197.0,Split 1,5.5
2022-01-23 19:29:23,Envy,FURIA,mid,5,2,10,13929,280.0,Split 1,7.5
2022-01-23 19:29:23,Netuno,FURIA,bot,10,3,8,15943,296.0,Split 1,6.0
2022-01-23 19:29:23,RedBert,FURIA,sup,0,2,16,8522,48.0,Split 1,8.0
2022-01-23 19:29:23,,Flamengo Esports,team,11,20,20,57061,,Split 1,1.55
2022-01-23 19:29:23,,FURIA,team,20,11,54,63007,,Split 1,6.73
2022-01-27 19:45:23,Wizer,paiN Gaming,top,1,0,6,9948,209.0,Split 1,inf
2022-01-27 19:45:23,CarioK,paiN Gaming,jng,3,0,14,11140,188.0,Split 1,inf
2022-01-27 19:45:23,dyNquedo,paiN Gaming,mid,5,0,10,12561,232.0,Split 1,inf
2022-01-27 19:45:23,Trigo,paiN Gaming,bot,10,0,8,12992,229.0,Split 1,inf
2022-01-27 19:45:23,Damage,paiN Gaming,sup,1,5,13,7020,32.0,Split 1,2.8
2022-01-27 19:45:23,Kiari,Liberty,top,0,4,1,7227,154.0,Split 1,0.25
2022-01-27 19:45:23,Disamis,Liberty,jng,1,3,0,7788,150.0,Split 1,0.33
2022-01-27 19:45:23,Krastyel,Liberty,mid,2,3,1,9455,224.0,Split 1,1.0
2022-01-27 19:45:23,Matsukaze,Liberty,bot,2,5,0,9017,202.0,Split 1,0.4
2022-01-27 19:45:23,Wos,Liberty,sup,0,5,2,5533,43.0,Split 1,0.4
2022-01-27 19:45:23,,paiN Gaming,team,20,5,51,53661,,Split 1,14.2
2022-01-27 19:45:23,,Liberty,team,5,20,4,39020,,Split 1,0.45
