date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,14415,12,24,,,
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,14635,12,24,,,
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,10209,12,24,,,
2018-01-27 15:10:50,RED Canids,Split 1,1,78236,24,12,11.0,2.0,2.0
2018-01-27 15:10:50,CNB e-Sports Club,Split 1,0,64272,12,24,4.0,2.0,0.0
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,9354,5,14,,,
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,8450,5,14,,,
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,9383,5,14,,,
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,9674,5,14,,,
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,7275,5,14,,,
2018-01-27 16:13:43,RED Canids,Split 1,1,13488,14,5,,,
2018-01-27 16:13:43,RED Canids,Split 1,1,10205,14,5,,,
2018-01-27 16:13:43,RED Canids,Split 1,1,13508,14,5,,,
2018-01-27 16:13:43,RED Canids,Split 1,1,14489,14,5,,,
2018-01-27 16:13:43,RED Canids,Split 1,1,9353,14,5,,,
2018-01-27 16:13:43,CNB e-Sports Club,Split 1,0,44136,5,14,2.0,0.0,0.0
2018-01-27 16:13:43,RED Canids,Split 1,1,61043,14,5,10.0,2.0,1.0
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,10186,3,11,,,
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,8186,3,11,,,
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,10212,3,11,,,
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,11242,3,11,,,
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,7574,3,11,,,
2018-01-27 17:04:31,INTZ,Split 1,1,12084,11,3,,,
2018-01-27 17:04:31,INTZ,Split 1,1,10571,11,3,,,
2018-01-27 17:04:31,INTZ,Split 1,1,12603,11,3,,,
2018-01-27 17:04:31,INTZ,Split 1,1,12807,11,3,,,
2018-01-27 17:04:31,INTZ,Split 1,1,8060,11,3,,,
2018-01-27 17:04:31,Team oNe eSports,Split 1,0,47400,3,11,1.0,0.0,0.0
2018-01-27 17:04:31,INTZ,Split 1,1,56125,11,3,8.0,2.0,1.0
2018-01-27 18:04:13,INTZ,Split 1,0,20242,29,17,,,
2018-01-27 18:04:13,INTZ,Split 1,0,17447,29,17,,,
2018-01-27 18:04:13,INTZ,Split 1,0,26238,29,17,,,
2018-01-27 18:04:13,INTZ,Split 1,0,24644,29,17,,,
2018-01-27 18:04:13,INTZ,Split 1,0,15869,29,17,,,
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,24162,17,29,,,
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,16864,17,29,,,
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,21851,17,29,,,
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,27226,17,29,,,
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,16317,17,29,,,
2018-01-27 18:04:13,INTZ,Split 1,0,104440,29,17,7.0,1.0,2.0
2018-01-27 18:04:13,Team oNe eSports,Split 1,1,106420,17,29,11.0,5.0,2.0
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,13178,13,5,,,
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,12398,13,5,,,
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,12779,13,5,,,
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,18323,13,5,,,
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,12041,13,5,,,
2018-01-27 19:23:45,INTZ,Split 1,0,10649,5,13,,,
2018-01-27 19:23:45,INTZ,Split 1,0,11308,5,13,,,
2018-01-27 19:23:45,INTZ,Split 1,0,13192,5,13,,,
2018-01-27 19:23:45,INTZ,Split 1,0,14240,5,13,,,
2018-01-27 19:23:45,INTZ,Split 1,0,8260,5,13,,,
2018-01-27 19:23:45,Team oNe eSports,Split 1,1,68719,13,5,11.0,2.0,1.0
2018-01-27 19:23:45,INTZ,Split 1,0,57649,5,13,0.0,1.0,0.0
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,9959,1,9,,,
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,9594,1,9,,,
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,12111,1,9,,,
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,12256,1,9,,,
2018-01-28 14:59:34,Vivo Keyd,Split 1,0,8569,1,9,,,
