playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
SeongHwan,paiN Gaming,jng,2,2,11,12047,192.0,6.5
tinowns,paiN Gaming,mid,5,3,8,14347,310.0,4.33
brTT,paiN Gaming,bot,8,2,9,16946,309.0,8.5
Key,paiN Gaming,sup,6,2,17,11041,40.0,11.5
Nyu,Redemption eSports Porto Alegre,top,3,1,6,16175,322.0,9.0
BalKhan,Redemption eSports Porto Alegre,jng,2,6,3,12024,235.0,0.83
Krastyel,Redemption eSports Porto Alegre,mid,2,4,4,13111,311.0,1.5
Save,Redemption eSports Porto Alegre,bot,2,8,4,12231,275.0,0.75
BocaJR,Redemption eSports Porto Alegre,sup,1,6,4,7406,38.0,0.83
,paiN Gaming,team,25,10,56,68478,,8.1
,Redemption eSports Porto Alegre,team,10,25,21,60947,,1.24
Fitz,FURIA Esports,top,5,0,11,18745,355.0,inf
Minerva,FURIA Esports,jng,2,3,17,13873,200.0,6.33
Anyyy,FURIA Esports,mid,8,2,6,22151,449.0,7.0
Alternative,FURIA Esports,bot,5,4,12,16499,287.0,4.25
Damage,FURIA Esports,sup,1,3,11,10629,55.0,4.0
WooFe,Flamengo Esports,top,4,7,2,16249,311.0,0.86
Ranger,Flamengo Esports,jng,2,3,6,13756,230.0,2.67
Goku,Flamengo Esports,mid,1,3,5,15266,303.0,2.0
Absolut,Flamengo Esports,bot,4,4,6,18711,415.0,2.5
Luci,Flamengo Esports,sup,1,4,9,10578,52.0,2.5
,FURIA Esports,team,21,12,57,81897,,6.5
,Flamengo Esports,team,12,21,28,74560,,1.9
fNb,Prodigy Esports,top,1,2,11,14002,264.0,6.0
Yampi,Prodigy Esports,jng,3,2,13,13978,224.0,8.0
Aloned,Prodigy Esports,mid,5,3,7,14099,245.0,4.0
Garo,Prodigy Esports,bot,9,1,9,18066,309.0,18.0
Wos,Prodigy Esports,sup,1,5,11,9176,45.0,2.4
Parang,KaBuM! e-Sports,top,2,4,8,13041,291.0,2.5
Wiz,KaBuM! e-Sports,jng,2,4,9,10239,159.0,2.75
Tutsz,KaBuM! e-Sports,mid,4,5,5,14881,323.0,1.8
DudsTheBoy,KaBuM! e-Sports,bot,4,3,6,15495,362.0,3.33
Ceos,KaBuM! e-Sports,sup,1,3,9,7640,37.0,3.33
,Prodigy Esports,team,19,13,51,69321,,5.38
,KaBuM! e-Sports,team,13,19,37,61296,,2.63
Tay,INTZ,top,0,6,1,8638,200.0,0.17
Zuao,INTZ,jng,1,5,2,8034,137.0,0.6
Envy,INTZ,mid,1,1,2,9814,209.0,3.0
micaO,INTZ,bot,1,2,1,12013,297.0,1.0
RedBert,INTZ,sup,0,1,2,6311,44.0,2.0
fNb,Prodigy Esports,top,3,1,7,12783,251.0,10.0
Yampi,Prodigy Esports,jng,2,1,8,9445,131.0,10.0
Aloned,Prodigy Esports,mid,3,1,10,13160,268.0,13.0
Garo,Prodigy Esports,bot,5,0,3,13987,250.0,inf
Wos,Prodigy Esports,sup,2,0,6,7882,45.0,inf
,INTZ,team,3,15,8,44810,,0.73
,Prodigy Esports,team,15,3,34,57257,,16.33
WooFe,Flamengo Esports,top,4,2,10,12728,250.0,7.0
Ranger,Flamengo Esports,jng,6,3,7,10358,146.0,4.33
Goku,Flamengo Esports,mid,6,3,7,11656,211.0,4.33
Absolut,Flamengo Esports,bot,3,3,12,12159,233.0,5.0
Luci,Flamengo Esports,sup,1,5,11,7186,39.0,2.4
Nyu,Redemption eSports Porto Alegre,top,0,5,2,7916,171.0,0.4
BalKhan,Redemption eSports Porto Alegre,jng,0,3,9,8337,159.0,3.0
Krastyel,Redemption eSports Porto Alegre,mid,8,2,3,12027,226.0,5.5
Save,Redemption eSports Porto Alegre,bot,5,4,9,11884,228.0,3.5
BocaJR,Redemption eSports Porto Alegre,sup,3,6,10,7257,40.0,2.17
